show_id,type,title,director,cast,average_rating,country,date_added,release_year,rating,duration,listed_in,description
s7471,TV Show,ATN's Tribute to 100 Years of Indian Cinema,,,1.7,,16-Aug-21,2021,ALL,2 Seasons,Documentary\Talk Show and Variety,A man and woman are in love with each other but cannot pursue their relationship due to the feud between their families. In order to save his love he decides to reunite the families.
s4097,TV Show,Foresighted Liu Bo Wen,,Huang Shao Qi\Huo Zheng Qi,3.12,,,2021,16+,1 Season,Drama\Science fiction,Hope finds herself leaving the comfort of her suburban life for New York City in order to settle the affairs of her best friend Rachel who has just been murdered.
s5781,Movie,The Adventures Of Tartu,Harold S. Bucquet,,4.25,,,1943,NR,103 min,Suspense,"PAI XI A Abril -Together they are the ""The Ji Guardians"" chosen to defend the fragile Yan World and reestablish a balance with the natural world that has long since disappeared."
s289,TV Show,Top Gear: The Perfect Road Trip Italy,,Richard Hammond\Jeremy Clarkson,3.93,,,2015,TV-PG,1 Season,Documentary,Once again Clarkson and Hammond are seeking joy and perfection with a range of fast beautiful and exciting cars unleashed on glorious roads amongst gorgeous scenery and drenched in Mediterranean sunshine. As part of their arduous research into perfection the duo will also undertake some ridiculous challenges and hilarious stunts culminating in a car race on the island of Capri.
s6679,Movie,Pasión Que Redime,Robert Stevenson,Hedy Lamarr\John Loder\Denis O'Keefe,3.24,,,1947,18+,82 min,Drama\Romance,Quirt Evans (John Wayne) an all round bad guy is nursed back to health and sought after by Penelope Worth (Gail Russell) a peace-loving Quaker girl. He eventually finds himself having to choose between his world and the world Penelope lives in.
s2766,TV Show,Crazy Hearts: Nashville,,Heather Byrd\Anthony Billups,3.26,,,2014,TV-14,1 Season,Documentary\Drama\Unscripted,An idealistic tenderfoot Chicago hotel clerk is taken on a cattle-drive to Mexico by famous trail boss Tom Reece but discovers that cowboy life isn't what he expected.
s1161,TV Show,Rick Stein's Far Eastern Odyssey,,Rick Stein,1.83,,,2009,13+,1 Season,Special Interest,Chef Rick Stein sets off on an epic culinary journey to explore the Far East's most diverse food cultures which have soared to the heights of popularity the world over. Along the way Rick visits traditional family-run restaurants street vendors night markets fishing villages and local farmers to learn about the authentic food of the area and to sample the delicious spectrum of flavors.
s6944,Movie,Rewind,Thej,Thej\Chandana Raghvendra\Sundar Raj\Dharma,4.01,,,2021,13+,123 min,Action,French colonists in Africa find themselves at war with their German neighbors. Deciding that they must do their proper duty and fight the Germans they promptly conscript the local native population. A young idealistic French geographer seems to be the only rational person in the town and he takes over control of the war after several bungles on the part of the others.
s1963,TV Show,Kashmir The Story,,,3.56,,,2018,13+,1 Season,TV Shows,Kashmir The Story is a documentary which gives an insight into the conflict-ridden region showcasing facts as they are. The purely observational piece of storytelling is an honest attempt to showcase life in the valley.
s7455,Movie,The Dead,Howard J. Ford\Jon Ford,Rob Freeman\Prince David Oseia\David Dontoh,4.45,,,2011,R,105 min,Action\Adventure\Horror,A look into the secret reports of UFO'S and the individuals across the globe that have had encounters and sitings.Can it be true that we are not alone and our there governments that are hiding the truth.
s8222,TV Show,YoYo,,,2.61,,,2021,ALL,1 Season,Animation\Kids,When the U.S. Ambassador to England begins to suspect that his son is the Anti-Christ he must wrestle with the decision to kill the child.
s8662,Movie,Rules of Love,Ben Gosling Fuller,Jake Roche\Daisy Head\Paterson Joseph,4.02,,,2010,16+,74 min,Arts\Entertainment\and Culture\Romance,In the world's second-most populated country-characterized by centuries-old caste systems more than 2000 ethnic groups and large sects of all major religions-the one thing that seems to connect the diverse citizens of India is their constant need for piping hot masala chai.
s8369,Movie,War Of The God Monsters,Kim Jeong-Yong,,3.64,,,2021,13+,87 min,Science fiction,B-movie classic filmed in 3 Days! It's murder on wheels when a trucking company loses several vehicles in a series of mysterious crashes – and a company honcho dies in a road accident that is equally inexplicable. Company driver Robert Lowery soon finds himself enmeshed in the whodunit which involves a café truck stop an ex-gangster mechanic and indications of sabotage.
s3495,TV Show,2019 AVP Seattle Open - Day 3,,,3.32,,,2019,TV-NR,1 Season,TV Shows,It's the exciting new showcase of great young talent on the ATP World Tour. The Next Gen ATP finals to be played in Milan from November 6-10 will feature the world's top seven 21-and-under singles players and one wild card. The tournament will also feature many innovations designed to make the sport more exciting than ever.
